Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Berg,Bodø / Glimt,DMF,26,4000000,2028-07-31,14,1439,4,1,1,1.33,11.88,55.26,Norway,Norway,right,178,76,no,7.26,5.82,62.37,0.94,40,0,0,0.25,3.63,4.97,0.69,3,0.19,0,0,1.44,0.25,4,0.25,0.06,0,0,22,1.38,45.45,18.182,0.06,0.75,33.33,0.56,22.22,0.19,66.67,0.06,1.06,41.18,3,47.92,0.44,0.88,0.19,40.4,0,0.75,53.66,88,13.26,72.17,8.63,97.83,20.95,92.24,47.53,92.11,5.38,59.3,17.76,35.32,0.08,0.88,0,0,0.38,33.33,0.25,6.88,77.27,1.63,46.15,0.94,46.67,0.56,0.25,5.82,70.97,0,,0,,0,0,0,0,,,0.88,,,0.31,0.13,50,2.88,0,0
F. Bjørkan,Bodø / Glimt,LB,25,1500000,2025-07-31,14,1389,0,0.66,0,0.71,17.3,58.8,Norway,Norway,left,180,73,no,9.59,7.13,69.09,0.65,60,0.26,0.35,0.13,4.41,5.95,0.65,1,0.06,0,0,2.46,0,0,0,0.04,0,0,6,0.39,16.67,0,0,1.49,30.43,1.49,30.43,0,0,0.19,3.24,60,7.32,52.21,2.27,5.31,3.95,41.27,0.58,1.3,55.46,90.42,15.68,83.06,12.05,96.77,19.37,94.31,52.1,93.41,1.94,53.33,16.84,29.73,0.05,0.58,0,0.06,0.13,0,0.32,5.64,87.36,1.81,78.57,0.19,0,0.91,0.52,7.45,79.13,0,,0,,0,0,0,0,,,0.71,,,0,0,0,0.06,0,0
L. Kalvach,Viktoria Plzeň,"DMF, RCMF, LCMF",28,2500000,2025-06-30,14,1358,2,1.16,2,4.52,17.56,55.85,Czech Republic,Czech Republic,right,183,77,no,10.21,7.22,62.39,3.38,58.82,0.27,0.37,0.13,5.43,7.5,0.66,6,0.4,0,0,2.19,0.13,2,0.13,0.08,0,0,18,1.19,33.33,11.111,0.13,1.59,37.5,0.27,25,1.06,31.25,0.07,2.19,48.48,4.9,45.95,0.53,0.99,0.2,25.12,0.33,1.39,38.64,80.45,16.97,73.05,5.1,94.81,12.13,86.89,31.48,88.21,5.57,48.81,19.46,35.24,0.3,1.66,0.13,0,0.2,66.67,0.27,8.35,73.81,3.31,54,0.86,30.77,0.93,0.6,7.62,84.35,0,,0,,0,0,0,0,,,0.46,,,2.19,0.2,0,3.65,0,0
T. Watanabe,Gent,"CB, LCB",27,1000000,2025-06-30,14,1350,1,0.85,0,0.02,11.67,64,Japan,Japan,right,186,76,no,8.67,4.93,71.62,3.47,55.77,0.13,0.2,0.27,5,7.63,0.33,0,0,0,0,0.53,0.07,1,0.07,0.06,0,0,5,0.33,40,20,0,0.07,0,0.07,0,0,0,0,0.53,75,1.27,57.89,0.87,0.4,0.13,39.6,0.53,0.27,56.6,91.64,17.07,79.3,2.87,95.35,32.93,97.77,52.53,94.16,4,60,21.36,35.38,0,0.07,0.07,0.13,0,0,0,4.53,79.41,0.27,25,0.4,50,0.2,0,6,68.89,0,,0,,0,0,0,0,,,1.93,,,0,0,0,0,0,0
S. Dweh,Viktoria Plzeň,"RCB, LCB",22,0,,14,1349,0,1.46,1,0.77,16.15,62.81,Liberia,Liberia,right,186,79,yes,11.21,7.47,69.64,4.07,67.21,0.67,0.93,0.4,5.34,7.43,1.2,3,0.2,0,0,0.73,0,0,0,0.1,0,0,5,0.33,0,0,0.07,0.47,28.57,0.07,0,0.4,33.33,0.07,0.73,81.82,2.34,45.71,0.4,0.67,0,26.42,0.67,0.33,41.83,83.89,17.01,70.59,5.07,97.37,16.75,92.03,34.76,91.55,6.6,47.47,22.65,33.96,0.05,0.27,0,0.13,0.07,0,0.07,7.87,64.41,1.27,31.58,0.73,18.18,0.4,0.13,8.34,78.4,0,,0,,0,0,0,0,,,3.54,,,0.07,0,0,0,0,0
R. Hranáč,Viktoria Plzeň,CB,24,250000,2027-06-30,13,1330,0,3.44,1,1.13,13.33,60.41,Czech Republic,Czech Republic,right,189,77,no,7.98,5.62,66.27,3.52,57.69,0.07,0.09,0.47,4.2,5.59,1.35,0,0,0,0,0.54,0,0,0,0.23,0,0,13,0.88,38.46,0,0.07,0,0,0,0,0,0,0,0.47,42.86,1.42,38.1,1.42,0.41,0.14,22.87,0.34,0.47,35.19,93.08,12.65,87.7,1.62,95.83,18.34,97.05,32.21,94.12,2.98,81.82,20.99,37.48,0.08,0.34,0.07,0,0,0,0.27,2.91,88.37,0.2,33.33,0.14,50,0.34,0,6.02,78.65,0,,0,,0,0,0,0,,,1.22,,,0,0,0,0,0,0
A. Grønbæk,Bodø / Glimt,LCMF,22,2300000,2028-12-31,14,1321,6,4.5,2,2.17,18.94,44.24,Denmark,Denmark,right,176,73,no,5.79,5.59,53.66,0.68,40,0.07,0.09,0,2.73,3.72,0.68,2,0.14,1,0.07,3.88,0.41,6,0.41,0.31,1,0.07,36,2.45,38.89,16.667,0.14,1.16,41.18,0.89,38.46,0.2,66.67,0.41,5.04,47.3,10.08,43.24,3.75,2.52,1.43,20.64,0.55,1.57,26.98,77.02,9.54,70,5.04,94.59,7.49,74.55,23.85,80.86,1.98,51.72,18.49,41.55,0.15,0.89,0.07,0,0.68,10,0.41,4.16,70.49,3.07,60,0.75,18.18,1.98,0.55,4.7,73.91,0,,0,,0,0,0,0,,,0.07,,,0.34,0.27,25,0.68,0,0
Josué,Legia Warszawa,"RWF, AMF",33,1000000,2024-06-30,14,1318,2,1.35,3,3.89,16.87,41.7,Portugal,Portugal,left,174,75,no,4.64,4.3,46.03,1.64,25,0.68,0.9,0.07,1.98,2.61,1.37,3,0.2,0,0,2.73,0.14,1,0.07,0.09,0,0,15,1.02,33.33,13.333,0.2,2.8,36.59,1.23,33.33,1.5,36.36,0.41,1.3,57.89,7.99,44.44,1.02,1.02,0,42,2.19,2.19,54.29,79.37,18.98,65.83,8.74,92.19,18.23,86.14,42.41,86.15,9.15,61.19,19.92,36.94,0.27,2.19,0.14,0,1.5,40.91,0.68,11.2,71.34,5.74,45.24,2.25,36.36,1.64,1.09,10.24,83.33,0,,0,,0,0,0,0,,,0.27,,,2.12,0.27,0,5.05,1,100
D. Peretz,Maccabi Tel Aviv,"RCMF, LCMF",28,1200000,2025-06-30,13,1314,7,5.77,0,0.91,14.38,53.33,Israel,"Israel, Portugal",right,185,83,no,4.93,4.32,69.84,3.77,52.73,0,0,0.07,1.92,2.72,0.89,0,0,0,0,2.05,0.48,7,0.48,0.4,3,0.21,26,1.78,61.54,26.923,0,0.62,22.22,0.14,0,0.34,0,0,1.23,61.11,3.63,39.62,2.53,0.62,0.34,23.84,0.68,0.48,31.3,82.71,8.08,76.27,4.66,94.12,12.4,86.19,28.7,84.96,1.99,68.97,17.92,34.1,0.06,0.82,0,0,0.21,33.33,0.14,3.9,82.46,1.1,37.5,0.21,33.33,0.68,0.14,4.04,72.88,0,,0,,0,0,0,0,,,0.14,,,0,0,0,0,0,0
P. Wszołek,Legia Warszawa,RWB,31,1200000,2025-06-30,14,1312,2,1.43,5,3.53,14.27,44.71,Poland,Poland,right,186,77,no,4.39,3.09,60,2.13,48.39,0.07,0.09,0,2.47,3.25,0.82,3,0.21,0,0,3.57,0.14,2,0.14,0.1,0,0,11,0.75,36.36,18.182,0.34,4.18,42.62,0.14,50,3.84,41.07,0.48,2.54,51.35,6.79,40.4,3.98,1.99,0.75,20.51,2.88,0.96,29.09,79.25,5.9,67.44,8.57,92,7.48,78.9,23.94,86.25,1.17,64.71,16.52,26.57,0.24,1.51,0.21,0.07,0.21,100,1.1,1.3,78.95,2.61,60.53,0.21,100,1.3,1.71,4.25,69.35,0,,0,,0,0,0,0,,,0.48,,,0,0,0,0,0,0
