Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
M. Braida,26,Argentina,"LWB, LB",Argentina 1,1810,0.1,7.16,4.03,0.35,1.59,1.29,6.86,4.87,22.62,14.22,0,0,4.72,0.45,4.08,18,37.89,4.82,4.52,8.06,1.94,1.69,25.16,0,0.9,0.1,0.75,1.39,4.67,10.54,0.5,1.19,2.03,0.1,0.84,0.04
R. Pérez,33,Colombia,"RCB, CB",Argentina 1,1796,0,2.36,0.15,0,0,0.1,5.41,0.45,11.53,11.02,1,0.05,2.91,0,3.91,18,30.07,3.51,0.35,5.01,0.5,0.4,21.25,0,0,0.45,0.3,0.4,0.3,6.97,0.2,0.35,0,0,1.09,0.05
G. Benavídez,27,Argentina,RB,Argentina 1,1779,0.05,3.79,1.47,0.25,0.56,0.61,6.78,1.21,16.04,16.09,0,0,5.11,0.2,3.69,18,35.72,4.76,2.48,8.95,0.91,2.58,23.47,0,0.46,0.25,0.4,0.35,1.82,9.97,0.66,0.51,0.79,0.04,0.72,0.04
F. Garcés,23,"Argentina, Spain","RCB, LCB",Argentina 1,1772,0,2.18,0.25,0,0.05,0.15,7.67,0.3,15.44,17.88,0,0,5.89,0.05,6.04,18,33.22,4.93,0.71,6.91,0.36,0.61,17.88,0,0.05,0.41,0.41,0.51,0.36,11.28,0.56,0.51,0.15,0.01,1.53,0.08
S. Longo,25,Argentina,"RCMF, DMF, RDMF",Argentina 1,1764,0,2.96,0.36,0,0.15,0.31,8.83,0.51,16.43,12.91,0,0,5.05,0.26,4.85,18,34.23,5.56,0.71,6.07,0.61,0.15,18.42,0,0.31,0.15,0.46,1.38,0.56,11.73,0.36,0.15,0.41,0.02,0.21,0.01
J. Rodríguez,27,Argentina,"DMF, CB, RCMF",Argentina 1,1759,0.05,3.84,0.26,0.05,0.05,0.41,6.24,0.82,15.25,21.13,1,0.05,6.55,0.1,6.34,18,48.91,9.98,1.64,11.41,0.97,0.51,29.73,0.05,0.46,0.26,0.41,0.56,0.67,10.69,0.82,0.31,0.78,0.04,0.46,0.02
I. Tapia,24,"Argentina, Italy","LCMF, RCMF",Argentina 1,1735,0.1,6.33,1.09,0.16,0.36,0.52,4.93,0.57,12.81,15.35,4,0.21,2.44,0.16,3.89,18,39.37,6.22,1.66,6.9,0.1,0.67,29,0.05,1.45,0.05,1.61,0.78,1.45,6.12,0.36,0.52,3.22,0.17,3.64,0.19
F. Mallo,28,Uruguay,"RCB, CB, LCB",Argentina 1,1707,0.05,1.63,0.05,0,0,0.11,5.06,0.37,12.28,13.13,1,0.05,4.85,0,6.54,17,29.47,4.11,0.74,7.01,0.47,0.11,15.98,0,0.05,0.53,0.42,0.32,0.26,9.02,0.47,0.58,0.03,0,1.21,0.06
P. Vegetti,34,Argentina,CF,Argentina 1,1701,0.05,4.18,1.27,0.11,0.16,0.48,3.17,1.9,29.31,2.86,10,0.53,1.64,0.16,0.69,18,14.71,1.01,0.85,1.11,0.58,2.8,8.41,0,0.58,0.32,2.59,0,2.49,3.28,0.16,3.49,1.12,0.06,9.38,0.5
J. Elías,27,"Argentina, Italy","RCMF, RB, LCMF",Argentina 1,1695,0.05,6.42,1.06,0.16,0.32,0.48,5.95,0.69,12.32,14.76,2,0.11,4.41,0.05,6.32,18,44.23,7.86,1.81,6.48,0.53,0.64,30.85,0.05,0.37,0.37,0.53,0.32,1.17,8.44,0.69,0.37,0.55,0.03,0.34,0.02
F. Alarcón,28,Argentina,"LCB, RCB",Argentina 1,1693,0.05,1.28,0,0,0,0.32,6.43,0.48,18.18,16.85,0,0,4.73,0,5.85,17,31.31,5.48,0.32,9.89,0.69,0.27,17.12,0,0.16,0.27,0.43,1.06,0.37,11,0.16,0.69,0.09,0,1.46,0.08
S. Ascacíbar,26,Argentina,"RCMF, LCMF",Argentina 1,1687,0.05,5.76,0.59,0.05,0.16,0.69,9.07,0.8,19.26,14.46,3,0.16,4.53,0.16,3.41,18,43.37,6.72,1.49,5.92,0.32,0.75,31.37,0.16,0.43,0.16,1.44,1.49,0.96,11.47,0.59,0.91,0.87,0.05,1.57,0.08
F. Rasmussen,31,Argentina,LCB,Argentina 1,1683,0,1.44,0,0,0,0.05,7.54,0.53,18.77,14.12,0,0,6.58,0,3.96,17,34.22,2.51,0.16,5.88,0.48,0.27,19.3,0,0.05,0.37,0.05,0.43,0.27,12.09,0.27,0.27,0.01,0,0.15,0.01
F. Sánchez,19,Argentina,LCB,Argentina 1,1681,0,2.14,0,0,0,0.27,5.14,0.11,15.69,14.3,0,0,5.46,0.11,7.5,17,26.29,4.71,0.27,7.17,0.11,0.16,12.1,0,0.16,0.8,0.21,0.27,0.11,9.69,0.32,0.48,0.09,0,0.67,0.04
B. Bianchi,34,"Argentina, Italy","RCB, CB",Argentina 1,1678,0,1.88,0,0,0,0.16,3.65,0.38,10.24,16.9,0,0,6.17,0.11,8.96,17,35.4,5.2,0.54,8.85,0.05,0.27,19.36,0,0.11,0.59,0.16,0.64,0.21,8.96,0.59,0.32,0.07,0,0.6,0.03
M. Catalán,30,"Argentina, Chile",RCB,Argentina 1,1676,0.11,1.99,0.54,0,0.32,0.16,5.37,0.91,14.71,20.62,1,0.05,5.21,0.38,10.63,17,40.7,7.46,1.18,12.08,0.91,0.48,23.36,0,0.38,0.21,0.38,0.11,0.86,8.97,0.59,0.54,1.42,0.08,1.06,0.06
F. Pereyra,33,Argentina,"RCB, CB",Argentina 1,1676,0,1.13,0.05,0,0,0.11,5.48,0.21,16,13.91,0,0,6.01,0,8.59,17,29.21,5.64,0.32,8.43,0.32,0.32,15.95,0,0,1.13,0.54,0.21,0.32,10.26,0.11,0.81,0,0,0.93,0.05
R. Villagra,22,Argentina,"LCMF, LDMF",Argentina 1,1669,0,6.2,0.16,0,0.05,0.59,8.41,1.46,18.01,11.32,0,0,2.97,0.22,6.47,18,40.44,5.82,1.02,5.72,0.7,0.22,25.02,0,0.43,0.22,0.54,0.32,1.19,8.3,0.75,0.32,0.35,0.02,0.51,0.03
