Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Duel%D3,DuelsD3,SeqShotStart,SeqGoalStart,RcvryA3,RcvryM3,Clrnce,Tckl,Shoot%,CrsPs%,CrossOpen,TchsA3,ThrghBalls,Ps%Att3rd,Pass%OpHf,LongBall%,LgBallCp,ShirtNumber,PrefFoot,xG,Offsides,ErrShot,FoulCom,Position,BgChncGoal,Cleared,RedsResc,Red,Yellow,Int,PsCmpInBox,GoalOBx,ShtOBox,OFF,FoulSuf,PsLostD3,PsLostA3,PsLostM3,PossLost,KeyPass,TouchOpBox,PsCmpSoP,PsSoP,PsOpHfScs,DuelLs,AerialLoss,AerialWon,SucflDuels,DuelsOff,Aerials,Duels,DuelsDef,ChancesCreatedPer90,CrossCmp,Crosses,ShtAf1v1,xAAf1v1,Sc1v1InBox,1v1InBox,Success1v1,1v1%,1v1,PsDist,PsCmpA3,PsRecA3,PsOppHalf,PsInA3rd,PsIntoOpHf,ProgPass,FwdPass,PsCmp,PsRec,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1,8nbsd8nw6diupw0tsjx146x1x,218380,Sambinha,Sambinha,Right Centre Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,221990,Mamadu Samba,Candé,Right Centre Back,35,3105,31,60.6%,3.68,0.41,0.00,0.00,2.06,4.75,0.96,22.2%,0.0%,0.06,1.33,0.00,48.7%,80.5%,17.7%,4.23,3,right,0.03,0.00,0.12,0.67,Right Centre Back,0.03,0.00,0.00,0.00,0.23,2.26,0.14,0.00,0.00,0.17,0.87,4.75,0.32,2.90,7.97,0.26,0.75,0.32,0.46,8.23,2.67,1.28,2.06,3.97,1.30,3.33,6.64,5.33,0.32,0.00,0.06,0.00,0.00,0.03,0.03,0.09,27.3%,0.32,22.0,0.46,0.26,12.20,0.58,8.49,2.93,13.74,38.55,30.99,58.09,45.45,84.8%,80.0%,0.32,0.06,0.04,0.06,0.03,0.26,0.32,0.09,27.3%,42.0%,59.8%,61.7%,5.62
2,47xqx4s8aj2kirxmpzrw3macp,491101,S. Keouf,Shareef Keouf,Goalkeeper,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,449810,Shareef,Keouf,Goalkeeper,34,3040,22,40.0%,0.15,0.47,0.12,0.00,0.03,0.33,0.00,-,-,0.00,0.00,0.03,23.4%,-,48.5%,4.68,40,,0.00,0.00,0.03,0.12,Goalkeeper,0.00,0.24,0.00,0.03,0.09,0.06,0.03,0.00,0.00,0.00,0.03,7.19,0.00,0.00,7.19,0.03,0.00,0.06,0.12,2.07,0.09,0.00,0.06,0.06,0.00,0.06,0.15,0.15,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.03,31.9,0.00,0.00,7.02,0.00,7.02,0.00,14.03,16.55,14.74,31.53,23.39,70.8%,-,0.06,0.03,0.01,0.00,0.00,0.00,0.00,0.00,-,-,40.0%,100.0%,1.51
3,5rf0jhxtd07bnndbjh0ovf4r9,184038,G. Amos,Gad Amos,Goalkeeper,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74461,Gad,Amos,Goalkeeper,33,2970,35,78.6%,0.42,0.36,0.00,0.00,0.00,0.21,0.00,-,-,0.00,0.00,0.00,22.1%,-,61.7%,8.00,1,right,0.00,0.00,0.06,0.00,Goalkeeper,0.00,0.27,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.09,10.61,0.00,0.03,10.64,0.00,0.00,0.06,0.09,4.33,0.09,0.06,0.24,0.33,0.00,0.30,0.42,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.03,36.9,0.00,0.00,12.03,0.00,12.03,0.00,18.33,19.18,14.27,37.82,29.52,65.0%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,78.6%,80.0%,1.36
4,6vou05kb6m6d3ep46kgmhdwx5,569306,N. Ljubisavljevic,Nemanja Ljubisavljevic,Left Centre Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,430624,Nemanja,Ljubisavljevic,Left Centre Back,33,2932,27,65.9%,3.78,0.31,0.03,0.12,1.50,4.11,1.50,9.1%,0.0%,0.03,1.57,0.00,38.2%,73.3%,20.5%,4.54,26,both,0.06,0.00,0.03,1.14,Left Centre Back,0.03,0.00,0.00,0.00,0.43,1.75,0.34,0.00,0.18,0.21,0.74,6.66,0.55,4.94,12.16,0.06,0.77,0.37,0.52,10.25,3.04,0.83,1.69,4.05,0.98,2.52,7.09,6.11,0.09,0.00,0.03,0.00,0.00,0.00,0.00,0.12,100.0%,0.12,23.2,0.31,0.40,17.62,0.71,12.34,4.30,21.73,43.80,38.43,67.84,54.88,79.8%,43.5%,0.09,0.03,0.02,0.03,0.06,0.34,0.43,0.12,28.6%,44.0%,57.1%,67.1%,4.39
5,3y7h2e79gvzrqor9gg854dl91,263520,Miguel Silva,Miguel Silva,Goalkeeper,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,219469,João Miguel,Macedo Silva,Goalkeeper,31,2772,29,76.5%,0.55,0.49,0.10,0.00,0.10,0.71,0.03,-,-,0.00,0.00,0.00,20.5%,-,44.5%,6.79,55,right,0.00,0.00,0.10,0.03,Goalkeeper,0.00,0.45,0.00,0.03,0.06,0.00,0.10,0.00,0.00,0.00,0.03,9.06,0.00,0.00,9.06,0.03,0.00,0.10,0.10,2.14,0.13,0.00,0.36,0.42,0.00,0.36,0.55,0.55,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,31.7,0.00,0.00,8.44,0.00,8.44,0.00,18.57,25.19,21.43,44.94,33.90,74.3%,-,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,76.5%,100.0%,1.82
6,2ffmtapkhzor2x5a4cybj3w7p,179847,Dor Peretz,Dor Peretz,Central Midfielder,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,212313,Dor,Peretz,Central Midfielder,34,2753,29,60.4%,1.73,0.92,0.20,0.65,2.12,0.33,1.83,16.1%,16.7%,0.59,20.60,0.03,73.9%,79.9%,4.1%,1.08,42,,0.35,0.26,0.00,1.24,Central Midfielder,0.26,0.00,0.00,0.00,0.13,0.62,1.21,0.03,0.56,1.05,0.95,1.05,6.05,4.74,11.83,1.18,4.22,0.07,0.10,21.02,5.36,1.63,1.44,4.81,5.85,3.07,10.17,4.32,1.24,0.10,0.59,0.00,0.02,0.03,0.13,0.59,41.9%,1.41,15.5,9.42,12.65,26.64,12.36,3.24,6.02,10.33,31.06,33.08,53.75,37.99,81.8%,76.8%,1.24,0.07,0.10,0.33,0.35,2.03,2.58,0.98,38.0%,44.2%,47.3%,46.8%,3.89
7,4bzxaacl40jtslfwvxqt21nth,99307,A. Harush,Ariel Harush,Goalkeeper,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74317,Ariel,Harush,Goalkeeper,31,2745,36,90.9%,0.36,0.33,0.03,0.00,0.03,0.20,0.00,-,-,0.00,0.00,0.00,19.5%,-,63.1%,5.41,1,right,0.00,0.00,0.00,0.00,Goalkeeper,0.00,0.13,0.00,0.00,0.07,0.03,0.00,0.00,0.00,0.00,0.10,10.79,0.00,0.23,11.02,0.03,0.00,0.13,0.23,3.74,0.03,0.00,0.23,0.33,0.00,0.23,0.36,0.36,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.03,100.0%,0.03,41.3,0.00,0.00,12.95,0.00,12.95,0.00,17.31,14.62,10.20,32.85,25.21,58.0%,-,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,90.9%,100.0%,1.21
8,7rv0xhaoqzj0nlyhi7aqhii1h,166213,I. Levy,Ido Levy,Left Centre Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104875,Ido,Levy,Left Centre Back,31,2740,33,68.9%,3.38,0.30,0.03,0.07,1.41,4.99,1.35,10.0%,0.0%,0.20,1.77,0.00,53.0%,75.9%,20.5%,3.68,5,,0.02,0.03,0.00,0.56,Left Centre Back,0.03,0.00,0.00,0.00,0.23,2.20,0.23,0.00,0.03,0.23,0.39,4.96,0.66,4.57,10.18,0.30,0.69,0.56,0.62,10.51,2.17,1.28,2.73,4.57,1.48,4.01,6.73,5.26,0.30,0.00,0.20,0.00,0.00,0.00,0.00,0.10,100.0%,0.10,22.2,0.43,0.43,16.42,0.72,10.84,4.53,19.12,32.58,27.36,55.35,41.65,78.2%,59.1%,0.30,0.00,0.02,0.03,0.02,0.33,0.33,0.10,30.0%,50.0%,67.8%,68.0%,3.97
9,6b3l1e5cn1ycog97nxegnb10p,320104,G. Kanichowsky,Gabi Kanichowsky,Central Midfielder,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,433710,Gabi,Kanichowsky,Central Midfielder,34,2705,26,76.2%,1.40,1.96,0.27,1.16,3.93,0.27,2.30,24.3%,25.2%,1.43,34.50,0.53,82.8%,86.5%,7.3%,2.66,16,,0.23,0.07,0.00,0.63,Central Midfielder,0.20,0.00,0.00,0.00,0.10,1.06,3.09,0.07,0.40,0.47,0.90,1.16,9.05,4.72,14.94,2.20,3.33,0.47,0.60,35.00,4.13,0.96,0.63,4.92,5.22,1.60,9.05,3.83,2.40,1.06,4.23,0.10,0.02,0.10,0.23,1.10,56.9%,1.93,17.1,19.53,19.26,40.99,22.99,3.59,9.08,14.04,47.74,45.22,74.63,54.70,87.3%,85.7%,2.40,0.20,0.27,0.30,0.23,1.23,1.80,0.77,42.6%,42.3%,54.4%,39.6%,6.79
10,dd1gwpduhvds0c6jeese3ynf8,872844,N. Eliasi,Niv Eliasi,Goalkeeper,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,545100,Niv,Eliasi,Goalkeeper,30,2700,22,70.6%,0.57,0.50,0.10,0.00,0.00,0.20,0.03,-,-,0.00,0.00,0.00,10.4%,-,43.5%,3.50,55,,0.00,0.00,0.00,0.07,Goalkeeper,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.10,7.17,0.00,0.00,7.17,0.00,0.00,0.03,0.10,1.20,0.20,0.10,0.33,0.40,0.03,0.43,0.60,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,30.3,0.00,0.00,5.90,0.00,5.90,0.03,13.80,16.97,13.27,32.27,24.00,70.7%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,50.0%,66.7%,76.9%,1.40
