Player,League,Minutes played,Goals per 90,xG per 90,Shots per 90,Touches in box per 90,xA per 90,Key passes per 90,Second assists per 90,Shot assists per 90,Passes to penalty area per 90,Crosses per 90,Deep completions per 90,Dribbles per 90,Progressive passes per 90
Carlos Eduardo,Portugal 1,783,0.23,0.12,1.15,0.57,0.03,0.23,0,0.46,1.38,0.92,0.34,5.98,1.84
Rodrigo Gomes,Portugal 1,412,0.22,0.09,1.09,2.4,0.01,0.22,0.22,0.22,1.75,2.18,0.44,3.5,2.62
Denílson,Portugal 1,426,0,0.11,1.48,1.27,0.02,0.21,0,0.21,0.63,0.63,0.21,1.48,0.85
Fábio Gomes,Portugal 1,328,0,0.25,1.1,4.12,0.07,0.55,0,0.82,0.82,1.37,1.1,3.02,1.65
A. Sima,France 1,1969,0.23,0.2,1.69,3.47,0.06,0.37,0.05,0.59,0.91,1.19,0.27,2.97,1.1
Yago Cariello,Portugal 1,1521,0.18,0.41,2.43,3.08,0.04,0.12,0,0.77,0.65,0.18,0.47,1.95,1.12
A. Dobre,Portugal 1,1018,0.18,0.25,1.94,3.89,0.23,0.97,0.09,1.5,1.68,2.03,1.24,3.54,2.92
T. Kunimoto,Portugal 1,1363,0.07,0.08,0.86,1.58,0.15,0.2,0.07,1.65,1.91,1.06,0.4,1.65,4.42
David Neres,Portugal 1,2088,0.26,0.21,1.9,4.57,0.25,0.95,0.17,1.68,5.04,5,1.64,7.24,5
Benny Sousa,Portugal 1,1369,0,0.05,1.12,1.84,0.19,1.45,0,1.71,4.21,2.83,1.51,2.89,4.4
Héctor Hernández,Portugal 1,1616,0.39,0.35,2.17,3.01,0.01,0.06,0,0.22,0.28,0.06,0.11,0.84,1.17
L. Ruiz,Portugal 1,1082,0.33,0.17,1.58,2.41,0.01,0,0,0.5,0.5,0.08,0.33,1.25,1.33
David Concha,Sweden1,285,0,0.17,2.53,2.21,0,0,0.32,0,1.89,2.21,0.95,6.95,4.42
M. Bayo,France 1,753,0.48,0.4,2.27,4.18,0.17,0.48,0,1.08,0.6,0.36,1.2,1.43,1.67
Tetê,France 1,1155,0.47,0.29,2.18,3.27,0.16,0.78,0.08,0.86,3.9,2.96,1.71,4.75,5.3
K. Gorré,Portugal 1,1624,0.06,0.18,2.44,2.44,0.17,0.72,0.11,1.44,3.05,2.66,0.94,9.75,4.16
